crop,days_since_planting,stage,suggested_task
maize,69,Silking,Protect from pests
maize,18,Vegetative,Apply nitrogen fertilizer
maize,52,Silking,Protect from pests
maize,16,Vegetative,Apply nitrogen fertilizer
maize,92,Maturity,Prepare for harvest
maize,57,Silking,Protect from pests
maize,30,Vegetative,Apply nitrogen fertilizer
maize,18,Vegetative,Apply nitrogen fertilizer
maize,48,Tasseling,Ensure proper pollination
maize,52,Silking,Protect from pests
maize,47,Tasseling,Ensure proper pollination
maize,56,Silking,Protect from pests
maize,6,Germination,Keep soil moist
maize,76,Maturity,Prepare for harvest
maize,6,Germination,Keep soil moist
maize,30,Vegetative,Apply nitrogen fertilizer
maize,37,Tasseling,Ensure proper pollination
maize,6,Germination,Keep soil moist
maize,33,Tasseling,Ensure proper pollination
maize,14,Vegetative,Apply nitrogen fertilizer
maize,3,Germination,Keep soil moist
maize,77,Maturity,Prepare for harvest
maize,80,Maturity,Prepare for harvest
maize,23,Vegetative,Apply nitrogen fertilizer
maize,4,Germination,Keep soil moist
maize,24,Vegetative,Apply nitrogen fertilizer
maize,22,Vegetative,Apply nitrogen fertilizer
maize,74,Maturity,Prepare for harvest
maize,24,Vegetative,Apply nitrogen fertilizer
maize,60,Silking,Protect from pests
maize,41,Tasseling,Ensure proper pollination
maize,65,Silking,Protect from pests
maize,30,Vegetative,Apply nitrogen fertilizer
maize,65,Silking,Protect from pests
maize,22,Vegetative,Apply nitrogen fertilizer
maize,77,Maturity,Prepare for harvest
maize,6,Germination,Keep soil moist
maize,43,Tasseling,Ensure proper pollination
maize,9,Vegetative,Apply nitrogen fertilizer
maize,77,Maturity,Prepare for harvest
maize,78,Maturity,Prepare for harvest
maize,39,Tasseling,Ensure proper pollination
maize,42,Tasseling,Ensure proper pollination
cotton,62,Boll Formation,Monitor for bollworms
cotton,23,Squaring,Spray growth regulators
cotton,38,Flowering,Irrigate regularly
cotton,42,Flowering,Irrigate regularly
cotton,7,Planting,Sow seeds in well-drained soil
cotton,83,Boll Formation,Monitor for bollworms
cotton,14,Seedling,Apply basal fertilizer
cotton,12,Seedling,Apply basal fertilizer
cotton,18,Seedling,Apply basal fertilizer
cotton,19,Seedling,Apply basal fertilizer
cotton,51,Flowering,Irrigate regularly
cotton,40,Flowering,Irrigate regularly
cotton,30,Squaring,Spray growth regulators
cotton,83,Boll Formation,Monitor for bollworms
cotton,4,Planting,Sow seeds in well-drained soil
cotton,81,Boll Formation,Monitor for bollworms
cotton,18,Seedling,Apply basal fertilizer
cotton,1,Planting,Sow seeds in well-drained soil
cotton,73,Boll Formation,Monitor for bollworms
cotton,27,Squaring,Spray growth regulators
cotton,9,Seedling,Apply basal fertilizer
cotton,32,Squaring,Spray growth regulators
cotton,7,Planting,Sow seeds in well-drained soil
cotton,26,Squaring,Spray growth regulators
cotton,18,Seedling,Apply basal fertilizer
cotton,10,Seedling,Apply basal fertilizer
cotton,9,Seedling,Apply basal fertilizer
cotton,90,Boll Formation,Monitor for bollworms
cotton,0,Planting,Sow seeds in well-drained soil
cotton,9,Seedling,Apply basal fertilizer
cotton,49,Flowering,Irrigate regularly
cotton,44,Flowering,Irrigate regularly
cotton,78,Boll Formation,Monitor for bollworms
cotton,37,Flowering,Irrigate regularly
cotton,21,Squaring,Spray growth regulators
cotton,46,Flowering,Irrigate regularly
cotton,87,Boll Formation,Monitor for bollworms
cotton,14,Seedling,Apply basal fertilizer
cotton,56,Boll Formation,Monitor for bollworms
cotton,4,Planting,Sow seeds in well-drained soil
cotton,22,Squaring,Spray growth regulators
cotton,31,Squaring,Spray growth regulators
cotton,13,Seedling,Apply basal fertilizer
cotton,26,Squaring,Spray growth regulators
cotton,18,Seedling,Apply basal fertilizer
cotton,5,Planting,Sow seeds in well-drained soil
cotton,31,Squaring,Spray growth regulators
cotton,7,Planting,Sow seeds in well-drained soil
cotton,4,Planting,Sow seeds in well-drained soil
cotton,15,Seedling,Apply basal fertilizer
cotton,34,Squaring,Spray growth regulators
cotton,3,Planting,Sow seeds in well-drained soil
cotton,50,Flowering,Irrigate regularly
cotton,19,Seedling,Apply basal fertilizer
cotton,37,Flowering,Irrigate regularly
cotton,10,Seedling,Apply basal fertilizer
cotton,2,Planting,Sow seeds in well-drained soil
cotton,28,Squaring,Spray growth regulators
cotton,19,Seedling,Apply basal fertilizer
cotton,33,Squaring,Spray growth regulators
cotton,26,Squaring,Spray growth regulators
cotton,62,Boll Formation,Monitor for bollworms
cotton,26,Squaring,Spray growth regulators
cotton,74,Boll Formation,Monitor for bollworms
cotton,45,Flowering,Irrigate regularly
cotton,52,Flowering,Irrigate regularly
cotton,0,Planting,Sow seeds in well-drained soil
cotton,8,Seedling,Apply basal fertilizer
cotton,24,Squaring,Spray growth regulators
cotton,65,Boll Formation,Monitor for bollworms
cotton,56,Boll Formation,Monitor for bollworms
cotton,51,Flowering,Irrigate regularly
cotton,30,Squaring,Spray growth regulators
cotton,14,Seedling,Apply basal fertilizer
cotton,22,Squaring,Spray growth regulators
cotton,61,Boll Formation,Monitor for bollworms
cotton,1,Planting,Sow seeds in well-drained soil
cotton,11,Seedling,Apply basal fertilizer
cotton,1,Planting,Sow seeds in well-drained soil
cotton,46,Flowering,Irrigate regularly
cotton,44,Flowering,Irrigate regularly
cotton,85,Boll Formation,Monitor for bollworms
cotton,87,Boll Formation,Monitor for bollworms
cotton,52,Flowering,Irrigate regularly
cotton,9,Seedling,Apply basal fertilizer
cotton,84,Boll Formation,Monitor for bollworms
cotton,46,Flowering,Irrigate regularly
cotton,23,Squaring,Spray growth regulators
cotton,4,Planting,Sow seeds in well-drained soil
cotton,60,Boll Formation,Monitor for bollworms
cotton,6,Planting,Sow seeds in well-drained soil
cotton,45,Flowering,Irrigate regularly
cotton,9,Seedling,Apply basal fertilizer
cotton,26,Squaring,Spray growth regulators
cotton,3,Planting,Sow seeds in well-drained soil
cotton,3,Planting,Sow seeds in well-drained soil
cotton,1,Planting,Sow seeds in well-drained soil
cotton,48,Flowering,Irrigate regularly
cotton,71,Boll Formation,Monitor for bollworms
cotton,37,Flowering,Irrigate regularly
groundnut,18,Seedling,Thin excess plants
groundnut,10,Seedling,Thin excess plants
groundnut,10,Seedling,Thin excess plants
groundnut,80,Maturity,Stop irrigation before harvest
groundnut,3,Sowing,Sow seeds and irrigate
groundnut,25,Pegging,Ensure loose soil for pegs
groundnut,82,Maturity,Stop irrigation before harvest
groundnut,11,Seedling,Thin excess plants
groundnut,2,Sowing,Sow seeds and irrigate
groundnut,54,Pod Formation,Apply gypsum and irrigate
groundnut,16,Seedling,Thin excess plants
groundnut,8,Seedling,Thin excess plants
groundnut,46,Pod Formation,Apply gypsum and irrigate
groundnut,88,Maturity,Stop irrigation before harvest
groundnut,2,Sowing,Sow seeds and irrigate
groundnut,18,Seedling,Thin excess plants
groundnut,27,Pegging,Ensure loose soil for pegs
groundnut,16,Seedling,Thin excess plants
groundnut,48,Pod Formation,Apply gypsum and irrigate
groundnut,23,Pegging,Ensure loose soil for pegs
groundnut,10,Seedling,Thin excess plants
groundnut,20,Seedling,Thin excess plants
groundnut,35,Pegging,Ensure loose soil for pegs
groundnut,87,Maturity,Stop irrigation before harvest
groundnut,6,Sowing,Sow seeds and irrigate
groundnut,18,Seedling,Thin excess plants
groundnut,46,Pod Formation,Apply gypsum and irrigate
groundnut,55,Pod Formation,Apply gypsum and irrigate
groundnut,12,Seedling,Thin excess plants
groundnut,65,Maturity,Stop irrigation before harvest
groundnut,47,Pod Formation,Apply gypsum and irrigate
groundnut,20,Seedling,Thin excess plants
groundnut,18,Seedling,Thin excess plants
groundnut,54,Pod Formation,Apply gypsum and irrigate
groundnut,72,Maturity,Stop irrigation before harvest
groundnut,78,Maturity,Stop irrigation before harvest
groundnut,77,Maturity,Stop irrigation before harvest
groundnut,32,Pegging,Ensure loose soil for pegs
groundnut,85,Maturity,Stop irrigation before harvest
groundnut,5,Sowing,Sow seeds and irrigate
groundnut,21,Pegging,Ensure loose soil for pegs
groundnut,25,Pegging,Ensure loose soil for pegs
groundnut,3,Sowing,Sow seeds and irrigate
groundnut,34,Pegging,Ensure loose soil for pegs
groundnut,34,Pegging,Ensure loose soil for pegs
groundnut,87,Maturity,Stop irrigation before harvest
groundnut,31,Pegging,Ensure loose soil for pegs
groundnut,5,Sowing,Sow seeds and irrigate
groundnut,28,Pegging,Ensure loose soil for pegs
groundnut,38,Pod Formation,Apply gypsum and irrigate
groundnut,16,Seedling,Thin excess plants
groundnut,48,Pod Formation,Apply gypsum and irrigate
groundnut,14,Seedling,Thin excess plants
groundnut,33,Pegging,Ensure loose soil for pegs
groundnut,1,Sowing,Sow seeds and irrigate
groundnut,65,Maturity,Stop irrigation before harvest
groundnut,32,Pegging,Ensure loose soil for pegs
groundnut,33,Pegging,Ensure loose soil for pegs
groundnut,71,Maturity,Stop irrigation before harvest
groundnut,79,Maturity,Stop irrigation before harvest
groundnut,59,Pod Formation,Apply gypsum and irrigate
groundnut,7,Sowing,Sow seeds and irrigate
groundnut,63,Maturity,Stop irrigation before harvest
groundnut,2,Sowing,Sow seeds and irrigate
groundnut,75,Maturity,Stop irrigation before harvest
groundnut,83,Maturity,Stop irrigation before harvest
groundnut,41,Pod Formation,Apply gypsum and irrigate
groundnut,27,Pegging,Ensure loose soil for pegs
groundnut,9,Seedling,Thin excess plants
groundnut,4,Sowing,Sow seeds and irrigate
groundnut,74,Maturity,Stop irrigation before harvest
groundnut,63,Maturity,Stop irrigation before harvest
groundnut,67,Maturity,Stop irrigation before harvest
groundnut,88,Maturity,Stop irrigation before harvest
groundnut,14,Seedling,Thin excess plants
groundnut,29,Pegging,Ensure loose soil for pegs
groundnut,2,Sowing,Sow seeds and irrigate
groundnut,24,Pegging,Ensure loose soil for pegs
groundnut,5,Sowing,Sow seeds and irrigate
groundnut,77,Maturity,Stop irrigation before harvest
groundnut,11,Seedling,Thin excess plants
groundnut,4,Sowing,Sow seeds and irrigate
groundnut,17,Seedling,Thin excess plants
groundnut,34,Pegging,Ensure loose soil for pegs
groundnut,31,Pegging,Ensure loose soil for pegs
groundnut,73,Maturity,Stop irrigation before harvest
groundnut,49,Pod Formation,Apply gypsum and irrigate
groundnut,67,Maturity,Stop irrigation before harvest
groundnut,60,Pod Formation,Apply gypsum and irrigate
groundnut,10,Seedling,Thin excess plants
groundnut,49,Pod Formation,Apply gypsum and irrigate
groundnut,33,Pegging,Ensure loose soil for pegs
groundnut,6,Sowing,Sow seeds and irrigate
groundnut,20,Seedling,Thin excess plants
groundnut,10,Seedling,Thin excess plants
groundnut,3,Sowing,Sow seeds and irrigate
groundnut,10,Seedling,Thin excess plants
groundnut,6,Sowing,Sow seeds and irrigate
groundnut,31,Pegging,Ensure loose soil for pegs
groundnut,27,Pegging,Ensure loose soil for pegs
